Trial,Parameter,Value,Average Train Loss,Average Validation Loss
47,momentum,0.7,5.241959249973297,4.856979835033417
47,weight_decay,0.1,5.241959249973297,4.856979835033417
47,number epochs,200,5.241959249973297,4.856979835033417
48,learning_rate,1e-05,6.0415618667602535,5.770972263336182
48,momentum,0.05,6.0415618667602535,5.770972263336182
48,weight_decay,0.005,6.0415618667602535,5.770972263336182
48,number epochs,250,6.0415618667602535,5.770972263336182
49,learning_rate,0.0001,5.602987070083618,5.286507476170858
49,momentum,0.1,5.602987070083618,5.286507476170858
49,weight_decay,0.1,5.602987070083618,5.286507476170858
49,number epochs,150,5.602987070083618,5.286507476170858
50,learning_rate,0.01,5.59245397567749,5.190548963546753
50,momentum,0.3,5.59245397567749,5.190548963546753
50,weight_decay,0.01,5.59245397567749,5.190548963546753
50,number epochs,50,5.59245397567749,5.190548963546753
51,learning_rate,1e-05,5.999297704696655,5.665793089866638
51,momentum,0.1,5.999297704696655,5.665793089866638
51,weight_decay,0.005,5.999297704696655,5.665793089866638
51,number epochs,200,5.999297704696655,5.665793089866638
52,learning_rate,0.1,5.482668946584066,5.217990544637044
52,momentum,1,5.482668946584066,5.217990544637044
52,weight_decay,0.1,5.482668946584066,5.217990544637044
52,number epochs,150,5.482668946584066,5.217990544637044
53,learning_rate,1e-05,6.152464771270752,5.8705591888427735
53,momentum,0.1,6.152464771270752,5.8705591888427735
53,weight_decay,0.005,6.152464771270752,5.8705591888427735
53,number epochs,250,6.152464771270752,5.8705591888427735
54,learning_rate,1e-05,5.481913095474243,5.230842519760132
54,momentum,0.95,5.481913095474243,5.230842519760132
54,weight_decay,0.1,5.481913095474243,5.230842519760132
54,number epochs,250,5.481913095474243,5.230842519760132
55,learning_rate,0.01,6.5113090229034425,6.085187997817993
55,momentum,0.3,6.5113090229034425,6.085187997817993
55,weight_decay,0.005,6.5113090229034425,6.085187997817993
55,number epochs,50,6.5113090229034425,6.085187997817993
56,learning_rate,0.001,5.909070081710816,5.558953232765198
56,momentum,0.3,5.909070081710816,5.558953232765198
56,weight_decay,0.0005,5.909070081710816,5.558953232765198
56,number epochs,100,5.909070081710816,5.558953232765198
57,learning_rate,0.0001,5.404589166641236,5.141496996879578
57,momentum,0.3,5.404589166641236,5.141496996879578
57,weight_decay,0.1,5.404589166641236,5.141496996879578
57,number epochs,100,5.404589166641236,5.141496996879578
58,learning_rate,1e-05,5.567858753204345,5.211050267219544
58,momentum,1,5.567858753204345,5.211050267219544
58,weight_decay,0.0005,5.567858753204345,5.211050267219544
58,number epochs,100,5.567858753204345,5.211050267219544
59,learning_rate,1e-05,5.775336012840271,5.401549744606018
59,momentum,1,5.775336012840271,5.401549744606018
59,weight_decay,0.0005,5.775336012840271,5.401549744606018
59,number epochs,100,5.775336012840271,5.401549744606018
60,learning_rate,0.0001,5.4765889377593995,5.200602579116821
60,momentum,0.7,5.4765889377593995,5.200602579116821
60,weight_decay,0.005,5.4765889377593995,5.200602579116821
60,number epochs,250,5.4765889377593995,5.200602579116821
61,learning_rate,0.01,5.88505402803421,5.551727511882782
61,momentum,0.3,5.88505402803421,5.551727511882782
61,weight_decay,0.0005,5.88505402803421,5.551727511882782
61,number epochs,200,5.88505402803421,5.551727511882782
62,learning_rate,0.01,5.769374563217163,5.4444732646942136
62,momentum,0.7,5.769374563217163,5.4444732646942136
62,weight_decay,0.01,5.769374563217163,5.4444732646942136
62,number epochs,250,5.769374563217163,5.4444732646942136
63,learning_rate,0.01,5.449709491729736,5.142939504623413
63,momentum,1,5.449709491729736,5.142939504623413
63,weight_decay,0.0005,5.449709491729736,5.142939504623413
63,number epochs,250,5.449709491729736,5.142939504623413
64,learning_rate,0.001,5.379830117225647,5.1083409786224365
64,momentum,0.3,5.379830117225647,5.1083409786224365
64,weight_decay,0.005,5.379830117225647,5.1083409786224365
